name,link,address,urls,score
Гимназия  № 14,/profile:1180/gimnaziya-14/?from=bilim&place=list,"Джалал-Абадская область  , г.Таш-Комур г.Таш-Комур 721400, Чыныбаева б/н",https://bilim.akipress.org/profile:1180/gimnaziya-14/?from=bilim&place=list,115.2
Гимназия им.А.Тангатарова,/profile:1627/gimnaziya-imatangatarova/?from=bilim&place=list,"Ошская область, Узгенский район c.Куршаб 723613 с.Куршаб",https://bilim.akipress.org/profile:1627/gimnaziya-imatangatarova/?from=bilim&place=list,нет
Гимназия им.К.Раимбекова,/profile:1650/gimnaziya-imkraimbekova/?from=bilim&place=list,"Ошская область, Узгенский район c.Мырза-Аке 723614 с.Мырза-Аке",https://bilim.akipress.org/profile:1650/gimnaziya-imkraimbekova/?from=bilim&place=list,113.1
Гимназия одаренных детей им.М.Гапарова,/profile:1719/gimnaziya-odarennyh-detei-immgaparova/?from=bilim&place=list,"Ошская область, Ноокатский район c.Гюльстан 715330 с.Гулистан",https://bilim.akipress.org/profile:1719/gimnaziya-odarennyh-detei-immgaparova/?from=bilim&place=list,104.3
Гимназия Парпиев ат.Кыргыз - Ата,/profile:1798/gimnaziya-parpiev-atkyrgyz-ata/?from=bilim&place=list,"Ошская область, Ноокатский район c.Кыргыз-Ата 715334 с.Кыргыз-Ата",https://bilim.akipress.org/profile:1798/gimnaziya-parpiev-atkyrgyz-ata/?from=bilim&place=list,107.5
Гимназия с.Бужун,/profile:2111/gimnaziya-sbuzhun/?from=bilim&place=list,"Баткенская область, Баткенский район c.Кара-Булак 720111",https://bilim.akipress.org/profile:2111/gimnaziya-sbuzhun/?from=bilim&place=list,нет
Гимназия с.Кара-Токой,/profile:2035/gimnaziya-skaratokoi/?from=bilim&place=list,"Баткенская область, Баткенский район c.Суу-Башы ________",https://bilim.akipress.org/profile:2035/gimnaziya-skaratokoi/?from=bilim&place=list,113.5
Гимназия №4 им.Бримкулова,/profile:1531/gimnaziya-4-imbrimkulova/?from=bilim&place=list,"Джалал-Абадская область  , Токтогульский район c.Джаны-Джол 715401   ул.Мажина 4",https://bilim.akipress.org/profile:1531/gimnaziya-4-imbrimkulova/?from=bilim&place=list,111
Горно-Маевская СШ,/profile:620/gornomaevskaya-ssh/?from=bilim&place=list,"Чуйская область, Аламудунский район c.Горная Маевка ул. Насип у.Садырбек, 38",https://bilim.akipress.org/profile:620/gornomaevskaya-ssh/?from=bilim&place=list,121.4
"ГОУ ""КРСУ""",/profile:34/gou-krsu/?from=bilim&place=list,"Бишкек, Свердловский район  Ул. Шопокова 68",https://bilim.akipress.org/profile:34/gou-krsu/?from=bilim&place=list,нет
Грозденская СШ,/profile:619/grozdenskaya-ssh/?from=bilim&place=list,"Чуйская область, Аламудунский район c.Гроздь 724311 ул Садовая б/н",https://bilim.akipress.org/profile:619/grozdenskaya-ssh/?from=bilim&place=list,119.3
ДД им. Ж.Боконбаева,/profile:1361/dd-im-zhbokonbaeva/?from=bilim&place=list,"Джалал-Абадская область  , Сузакский район c.Багыш 715663",https://bilim.akipress.org/profile:1361/dd-im-zhbokonbaeva/?from=bilim&place=list,нет
Дж-Пахтинская НСШ с.Мирное,/profile:423/dzhpahtinskaya-nssh-smirnoe/?from=bilim&place=list,"Чуйская область, Сокулукский район c.Мирный 722135, Мира 5",https://bilim.akipress.org/profile:423/dzhpahtinskaya-nssh-smirnoe/?from=bilim&place=list,нет
