name,link,address,urls,score
СШ № 20,/profile:924/ssh-20/?from=bilim&place=list,"Ош, г. Ош г.Ош 72350, ул. Урицкого, 2",https://bilim.akipress.org/profile:924/ssh-20/?from=bilim&place=list,131.9
СШ им. Касымкула Нанаева,/profile:450/ssh-im-kasymkula-nanaeva/?from=bilim&place=list,"Таласская область, Таласский район c.Арал 724102 ул. Чыныке бий 48",https://bilim.akipress.org/profile:450/ssh-im-kasymkula-nanaeva/?from=bilim&place=list,101.9
СШ №4,/profile:1196/ssh-4/?from=bilim&place=list,"Джалал-Абадская область  , г. Майлуу-Суу г.Майлы-Суу ул З.Кутмановой б/н",https://bilim.akipress.org/profile:1196/ssh-4/?from=bilim&place=list,84.6
СШ №1,/profile:1219/ssh-1/?from=bilim&place=list,"Джалал-Абадская область  , г.Джалал Абад г.Джалал-Абад 715601",https://bilim.akipress.org/profile:1219/ssh-1/?from=bilim&place=list,97.5
УВК-гимназия  №67,/profile:2156/uvkgimnaziya-67/?from=bilim&place=list,"Бишкек, Свердловский район  ул. Боконбаева, 16",https://bilim.akipress.org/profile:2156/uvkgimnaziya-67/?from=bilim&place=list,118
СШ №27,/profile:2211/ssh-27/?from=bilim&place=list,"Бишкек, Первомайский район  ул. Жумабека 147",https://bilim.akipress.org/profile:2211/ssh-27/?from=bilim&place=list,нет
Школа- гимназия №11,/profile:1170/shkola-gimnaziya-11/?from=bilim&place=list,"Ыссык-Кульская область, г.Каракол г.Каракол 722206,Тыныстанова №47",https://bilim.akipress.org/profile:1170/shkola-gimnaziya-11/?from=bilim&place=list,129.8
СШ им.А.Табылдиева,/profile:279/ssh-imatabyldieva/?from=bilim&place=list,"Нарынская область, Ат-Башынский район c.Большевик с. Большевик",https://bilim.akipress.org/profile:279/ssh-imatabyldieva/?from=bilim&place=list,132.6
СШ им.Т.Асранова,/profile:1636/ssh-imtasranova/?from=bilim&place=list,"Ошская область, Узгенский район c.Торт-Кол 723625 с.Шоробашат",https://bilim.akipress.org/profile:1636/ssh-imtasranova/?from=bilim&place=list,105.1
СШ им.Кудайбердиева,/profile:1082/ssh-imkudaiberdieva/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Кашат Советская б\н  722320",https://bilim.akipress.org/profile:1082/ssh-imkudaiberdieva/?from=bilim&place=list,114.9
СШ им.Керимгазиева,/profile:1083/ssh-imkerimgazieva/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Темировка Иманалива б\н 722319",https://bilim.akipress.org/profile:1083/ssh-imkerimgazieva/?from=bilim&place=list,109.8
СШ им. Колесникова,/profile:1080/ssh-im-kolesnikova/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Семеновка ул.Алмакучукова б\н 722323",https://bilim.akipress.org/profile:1080/ssh-im-kolesnikova/?from=bilim&place=list,100.8
СШ им.Маматова,/profile:1075/ssh-immamatova/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Жаркынбаево ул.Абдракманова б\н 722326",https://bilim.akipress.org/profile:1075/ssh-immamatova/?from=bilim&place=list,110.9
СШ им.Пушкина,/profile:1081/ssh-impushkina/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Григорьевка 8 марта б\н   722321",https://bilim.akipress.org/profile:1081/ssh-impushkina/?from=bilim&place=list,117.9
